	Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations	Cumulative Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
L114	Node_32	1589	89	1500	3	41361	144810	0.059333	0.002	1356834	1242259
L115	Node_33	761	128	633	5	41986	128470	0.202212	0.007899	1429777	1355315
L116	Node_34	461	139	322	9	69487	87189	0.431677	0.02795	1454346	1418968
L117	Node_35	344	68	276	4	35374	35374	0.246377	0.014493	1467111	1467111
L118	Node_36	0	0	0	0	0	0	0	0	1470269	1470269
L119	Node_37	46	38	8	2	18759	170865	4.75	0.25	1417461	1258666
L120	Node_38	2700	292	2408	6	80861	162857	0.121262	0.002492	1422486	1289140
L121	Node_39	0	0	0	0	0	352785	0	0	1429585	1083114
L122	Node_40	0	0	0	0	0	352785	0	0	1430576	1084105
L123	Node_41	893	301	592	7	26837	352785	0.508446	0.011824	1434689	1206095
L124	Node_42	1409	244	1165	7	26837	233720	0.209442	0.006009	1445900	1235340
L125	Node_43	0	0	0	0	0	272000	0	0	1416590	1150527
L126	Node_44	156	75	81	7	21505	272000	0.925926	0.08642	1416593	1174609
L127	Node_45	2041	276	1765	7	26837	248009	0.156374	0.003966	1420053	1209910
L128	Node_46	558	138	420	5	37381	214693	0.328571	0.011905	1456915	1287448
L129	Node_47	9	5	4	1	0	208899	1.25	0.25	1435815	1235865
L130	Node_48	1	0	1	0	0	204007	0	0	1448687	1248189
L131	Node_49	3	0	3	0	0	204007	0	0	1450166	1249642
L132	Node_50	2634	350	2284	10	103391	204207	0.15324	0.004378	1450188	1281614
L133	Node_51	392	129	263	4	70823	171734	0.490494	0.015209	1479668	1346090
L134	Node_52	290	48	242	3	65491	133606	0.198347	0.012397	1483648	1377496
L135	Node_53	78	54	24	3	67195	193706	2.25	0.125	1417712	1249903
L136	Node_54	1074	110	964	3	67195	174223	0.114108	0.003112	1439836	1312547
L137	Node_55	1179	0	1179	0	0	166234	0	0	1489831	1323681
L138	Node_56	0	0	0	0	0	181207	0	0	1506325	1325649
L139	Node_57	16	11	5	2	55728	181207	2.2	0.4	1511756	1333960
L140	Node_58	2	0	2	0	0	178328	0	0	1516956	1338804
L141	Node_59	2	0	2	0	0	178328	0	0	1518760	1340608
L142	Node_60	0	0	0	0	0	178328	0	0	1518766	1340614
L143	Node_61	4	0	4	0	0	178328	0	0	1519294	1341142
L144	Node_62	66	52	14	3	67195	191136	3.714286	0.214286	1520212	1340346
L145	Node_63	10	5	5	1	36969	179849	1	0.2	1520216	1341872
L146	Node_64	1	0	1	0	0	182058	0	0	1412528	1240826
L147	Node_65	9	0	9	0	0	182058	0	0	1412528	1240826
L148	Node_66	41	18	23	1	36969	182058	0.782609	0.043478	1461021	1285640
L149	Node_67	2	0	2	0	0	178328	0	0	1520386	1342042
L150	Node_68	17	14	3	1	36969	178328	4.666667	0.333333	1520410	1347144
L151	Node_69	3	0	3	0	0	182440	0	0	1515677	1333389
L152	Node_70	12	10	2	1	37762	182440	5	0.5	1517713	1335388
L153	Node_71	1	0	1	0	0	183512	0	0	1512683	1329569
L154	Node_72	20	10	10	1	37762	183512	1	0.1	1512695	1330654
L155	Node_73	0	0	0	0	0	182440	0	0	1517717	1335392
L156	Node_74	1	0	1	0	0	182440	0	0	1517719	1335394
L157	Node_75	56	38	18	4	72527	182440	2.111111	0.222222	1517722	1344589
L158	Node_76	13	0	13	0	0	173251	0	0	1520414	1347148
L159	Node_77	1137	74	1063	3	67195	173251	0.069614	0.002822	1520414	1354164
L160	Node_78	400	64	336	3	67195	166234	0.190476	0.008929	1520506	1393076
L161	Node_79	1714	251	1463	6	80861	127417	0.171565	0.004101	1520520	1414361
L162	Node_80	546	278	268	9	106150	106150	1.037313	0.033582	1521194	1521194
L163	Node_81	0	0	0	0	0	0	0	0	1521208	1521208
