	CDS	GeneName	Start	End	Repl	NumRec	NumAffectedTaxa
L0086	BB_0099	rsgA	96943	97866	chr	0	0
L0087	BB_0100	murI	97863	98648	chr	0	0
L0088	BB_0101	asnS	98817	100205	chr	1	10
L0089	BB_0102	ND	100228	100749	chr	1	10
L0090	BB_0103	ND	100746	101339	chr	1	10
L0091	BB_0104	ND	101525	102949	chr	1	10
L0092	BB_0105	map	103016	103771	chr	1	10
L0093	BB_0106	ND	103764	105299	chr	1	10
L0094	BB_0107	nusB	105418	105846	chr	1	10
L0095	BB_0108	ND	105884	106894	chr	1	10
L0096	BB_0109	ND	106974	108170	chr	1	10
L0097	BB_0110	ND	108307	109671	chr	2	2
L0098	BB_0111	dnaB	109675	111042	chr	2	9
L0099	BB_0112	rplI	111046	111567	chr	3	12
L0100	BB_0113	rpsR	111585	111875	chr	3	12
L0101	BB_0114	ND	111889	112338	chr	3	12
L0102	BB_0115	ND	112350	112769	chr	4	13
L0103	BB_0116	ND	112909	114603	chr	4	13
L0104	BB_0117	ND	114807	115508	chr	4	14
L0105	BB_0118	rseP	115505	116806	chr	5	42
L0106	BB_0120	uppS	117678	118370	chr	5	40
L0107	BB_0121	frr	118375	118929	chr	4	36
L0108	BB_0122	tsf	118964	119803	chr	4	36
L0109	BB_0123	rpsB	119807	120589	chr	4	36
L0110	BB_0124	ND	120804	121082	chr	3	36
L0111	BB_0125	ND	121101	121823	chr	4	38
L0112	BB_0126	ND	121880	122491	chr	4	38
L0113	BB_0127	ND	122491	124146	chr	5	41
L0114	BB_0128	cmk	124149	124814	chr	3	11
L0115	BB_0129	ND	124798	125547	chr	3	11
L0116	BB_0130	ND	125534	126301	chr	3	11
L0117	BB_0131	recA	126316	127413	chr	2	8
L0118	BB_0132	ND	127427	130132	chr	2	8
L0119	BB_0133	ND	130170	131114	chr	0	0
L0120	BB_0134	ND	131298	132425	chr	1	4
L0121	BB_0135	hisS	132472	133842	chr	1	4
L0122	BB_0136	ND	133975	135864	chr	1	4
L0123	BB_0137	ND	135874	137766	chr	1	4
L0124	BB_0138	ND	137880	138089	chr	1	4
L0125	BB_0139	ND	138434	138745	chr	1	4
L0126	BB_0141	ND	141979	142932	chr	0	0
L0127	BB_0142	ND	142944	144230	chr	1	3
L0128	BB_0143	ND	144307	144597	chr	1	3
L0129	BB_0144	ND	144586	145458	chr	1	3
L0130	BB_0145	ND	145471	146370	chr	1	3
L0131	BB_0146	ND	146377	147495	chr	1	3
L0132	BB_0147	ND	147649	148659	chr	0	0
L0133	BB_0151	nagA	150974	152179	chr	0	0
L0134	BB_0152	nagB	152206	153012	chr	1	1
L0135	BB_0153	ND	153075	153686	chr	3	3
L0136	BB_0154	secA	153701	156400	chr	4	7
L0137	BB_0155	ND	156462	157598	chr	3	6
L0138	BB_0156	ND	157627	158061	chr	2	5
L0139	BB_0157	ND	158076	158474	chr	2	5
L0140	BB_0158	ND	158628	159344	chr	2	5
L0141	BB_0159	ND	159368	160042	chr	2	5
L0142	BB_0160	alr	160090	161208	chr	2	5
L0143	BB_0161	ND	161200	162801	chr	1	4
L0144	BB_0162	ND	162878	163045	chr	1	4
L0145	BB_0163	ND	163072	164820	chr	1	4
L0146	BB_0164	ND	164901	165887	chr	1	4
L0147	BB_0165	ND	165915	167759	chr	1	4
L0148	BB_0166	malQ	167879	169399	chr	0	0
L0149	BB_0167	ND	169563	170708	chr	0	0
L0150	BB_0168	ND	170720	171097	chr	0	0
L0151	BB_0169	infA	171263	171484	chr	0	0
L0152	BB_0170	ND	171532	173535	chr	3	55
L0153	BB_0171	ND	173529	174116	chr	3	55
L0154	BB_0172	ND	174098	174970	chr	1	23
L0155	BB_0174	ND	176069	176974	chr	0	0
L0156	BB_0175	ND	176978	177853	chr	0	0
L0157	BB_0176	ND	177868	178860	chr	0	0
L0158	BB_0177	gidB	178917	179543	chr	1	4
L0159	BB_0178	gidA	179540	181405	chr	2	6
L0160	BB_0179	trmE	181408	182802	chr	2	6
L0161	BB_0180	ND	182886	183380	chr	1	2
L0162	BB_0183	ND	186554	186946	chr	1	2
L0163	BB_0184	csrA	186949	187194	chr	1	2
L0164	BB_0185	ND	187178	187831	chr	1	2
L0165	BB_0186	ND	187824	188237	chr	1	2
L0166	BB_0187	ND	188234	188494	chr	1	2
L0167	BB_0189	rpmI	189076	189276	chr	1	2
L0168	BB_0190	infC	189299	189859	chr	1	2
L0169	BB_0192	ND	190187	190717	chr	1	2
L0170	BB_0193	ND	190719	191459	chr	1	2
L0171	BB_0194	ND	191518	192327	chr	1	2
L0172	BB_0195	ND	192324	193463	chr	1	2
L0173	BB_0197	ND	194876	195736	chr	3	11
L0174	BB_0198	ND	195693	197696	chr	2	10
L0175	BB_0200	ND	199965	201050	chr	2	11
L0176	BB_0201	ND	201052	202578	chr	3	20
L0177	BB_0202	ND	202850	204088	chr	0	0
L0178	BB_0203	hflK	204137	205072	chr	0	0
L0179	BB_0204	hflC	205175	206044	chr	0	0
L0180	BB_0205	ND	206529	208106	chr	0	0
L0181	BB_0206	ND	208084	208581	chr	0	0
L0182	BB_0209	ND	211301	212068	chr	0	0
L0183	BB_0211	ND	215427	217259	chr	0	0
L0184	BB_0212	ND	217278	218312	chr	2	18
L0185	BB_0213	ND	218425	219078	chr	2	18
L0186	BB_0214	efp	219056	219634	chr	2	18
L0187	BB_0215	ND	219800	220639	chr	2	18
L0188	BB_0216	pstC	220729	221637	chr	1	18
L0189	BB_0217	pstA	221742	223178	chr	1	18
L0190	BB_0218	pstB	223179	223961	chr	1	18
L0191	BB_0219	ND	223964	224785	chr	1	18
L0192	BB_0220	ND	224826	226610	chr	1	18
L0193	BB_0221	ND	226610	227827	chr	1	18
L0194	BB_0222	ND	227814	228521	chr	1	18
L0195	BB_0225	ND	229217	230224	chr	2	20
L0196	BB_0226	serS	230214	231491	chr	1	18
L0197	BB_0227	ND	231621	232322	chr	1	18
L0198	BB_0228	ND	232338	235253	chr	1	18
L0199	BB_0229	rpmE	235289	235534	chr	1	18
L0200	BB_0230	rho	235595	237142	chr	1	18
L0201	BB_0231	ND	237222	237629	chr	1	18
L0202	BB_0232	hbb	237630	237956	chr	1	18
L0203	BB_0233	rpsT	237969	238226	chr	1	18
L0204	BB_0234	ND	238301	239128	chr	1	18
L0205	BB_0235	ychF	239144	240250	chr	1	18
L0206	BB_0236	ND	240283	242289	chr	1	18
L0207	BB_0237	lnt	242438	244003	chr	0	0
L0208	BB_0238	ND	243943	244713	chr	0	0
L0209	BB_0239	ND	244777	245382	chr	0	0
L0210	BB_0240	ND	245790	246554	chr	0	0
L0211	BB_0241	glpK	246597	248102	chr	1	4
L0212	BB_0242	ND	248156	248434	chr	1	4
L0213	BB_0243	ND	248506	250089	chr	1	4
L0214	BB_0244	ND	250176	250670	chr	1	4
L0215	BB_0245	ND	250657	251211	chr	1	4
L0216	BB_0246	ND	251212	252237	chr	1	4
L0217	BB_0247	rdgB	252434	253039	chr	2	18
L0218	BB_0248	pepF	253159	254931	chr	4	20
L0219	BB_0249	ND	254945	255649	chr	4	20
L0220	BB_0250	ND	255646	256260	chr	4	20
L0221	BB_0251	leuS	256463	258985	chr	5	24
L0222	BB_0253	lon	261292	263712	chr	4	20
L0223	BB_0254	recJ	263988	266114	chr	2	18
L0224	BB_0255	ND	266107	267051	chr	0	0
L0225	BB_0256	rpsU	267066	267275	chr	0	0
L0226	BB_0258	ND	269673	270473	chr	0	0
L0227	BB_0259	ND	270488	272641	chr	1	7
L0228	BB_0260	ND	272634	273647	chr	1	7
L0229	BB_0261	ND	273857	275236	chr	1	7
L0230	BB_0262	ND	275243	276496	chr	1	7
L0231	BB_0263	lepB	276672	277064	chr	1	7
L0232	BB_0264	ND	277090	278559	chr	2	25
L0233	BB_0265	ND	278537	279058	chr	2	25
L0234	BB_0266	ND	279078	279380	chr	2	25
L0235	BB_0267	ND	279407	281311	chr	3	25
L0236	BB_0268	ND	281314	281793	chr	3	25
L0237	BB_0269	ND	281800	282687	chr	3	25
L0238	BB_0270	ND	282699	283865	chr	3	25
L0239	BB_0271	flhA	283869	285962	chr	3	25
L0240	BB_0272	flhB	285971	287089	chr	2	25
L0241	BB_0273	fliR	287089	287877	chr	2	25
L0242	BB_0274	fliQ	287910	288173	chr	2	25
L0243	BB_0275	fliP	288182	288946	chr	2	25
L0244	BB_0276	ND	288957	289583	chr	1	7
L0245	BB_0277	ND	289576	289917	chr	2	8
L0246	BB_0278	fliM	289963	291021	chr	2	8
L0247	BB_0279	fliL	291059	291595	chr	2	8
L0248	BB_0280	ND	291644	292426	chr	2	8
L0249	BB_0281	ND	292426	293208	chr	2	8
L0250	BB_0282	ND	293205	293429	chr	2	8
L0251	BB_0283	ND	293452	294780	chr	2	8
L0252	BB_0284	flgD	294785	295228	chr	1	7
L0253	BB_0285	ND	295242	296420	chr	1	7
L0254	BB_0286	ND	296428	297045	chr	1	7
L0255	BB_0287	ND	297038	297469	chr	1	7
L0256	BB_0288	fliI	297466	298776	chr	1	7
L0257	BB_0289	ND	298795	299715	chr	1	7
L0258	BB_0290	fliG	299730	300764	chr	1	7
L0259	BB_0291	fliF	300780	302489	chr	1	7
L0260	BB_0292	fliE	302504	302839	chr	1	7
L0261	BB_0293	flgC	302851	303309	chr	1	7
L0262	BB_0294	flgB	303333	303740	chr	1	7
L0263	BB_0295	hslU	303774	305120	chr	2	10
L0264	BB_0296	ND	305113	305661	chr	2	10
L0265	BB_0297	ND	305671	306615	chr	2	10
L0266	BB_0298	ND	306625	307317	chr	1	3
L0267	BB_0299	ftsZ	307318	308517	chr	1	3
L0268	BB_0300	ftsA	308539	309780	chr	0	0
L0269	BB_0301	ND	309780	310523	chr	0	0
L0270	BB_0302	ftsW	310559	311617	chr	0	0
L0271	BB_0303	mraY	311660	312715	chr	0	0
L0272	BB_0304	ND	312729	314123	chr	0	0
L0273	BB_0305	ND	314146	314427	chr	0	0
L0274	BB_0306	mraW	314424	315314	chr	1	4
L0275	BB_0307	ND	315307	316143	chr	1	4
L0276	BB_0308	ND	316140	317216	chr	0	0
L0277	BB_0309	ND	317247	318005	chr	0	0
L0278	BB_0311	ND	318277	319116	chr	0	0
L0279	BB_0312	ND	319106	319636	chr	0	0
L0280	BB_0313	rrmJ	319680	320249	chr	0	0
L0281	BB_0314	ND	320309	321352	chr	0	0
L0282	BB_0315	ND	321352	322038	chr	0	0
L0283	BB_0316	ND	322040	322846	chr	0	0
L0284	BB_0317	ND	322847	323779	chr	0	0
L0285	BB_0318	ND	323776	325236	chr	0	0
L0286	BB_0319	ND	325236	326288	chr	1	18
L0287	BB_0321	ND	326469	326666	chr	1	18
L0288	BB_0322	ND	326699	327757	chr	1	18
L0289	BB_0323	ND	328032	329165	chr	0	0
L0290	BB_0324	ND	329262	329621	chr	0	0
L0291	BB_0325	ND	329643	330752	chr	0	0
L0292	BB_0326	ND	330803	333598	chr	0	0
L0293	BB_0327	ND	333619	334515	chr	0	0
L0294	BB_0328	ND	334937	336508	chr	0	0
L0295	BB_0330	ND	338358	339983	chr	0	0
L0296	BB_0331	ND	340062	340217	chr	0	0
L0297	BB_0332	ND	340341	341261	chr	0	0
L0298	BB_0333	ND	341274	342323	chr	0	0
L0299	BB_0334	ND	342335	343207	chr	0	0
L0300	BB_0335	ND	343208	344179	chr	0	0
L0301	BB_0337	eno	345063	346364	chr	3	14
L0302	BB_0338	rpsI	346431	346841	chr	2	12
L0303	BB_0339	rplM	346861	347301	chr	2	12
L0304	BB_0340	ND	347351	348160	chr	2	12
L0305	BB_0341	ND	348153	349610	chr	2	12
L0306	BB_0342	ND	349600	351045	chr	4	65
L0307	BB_0343	gatC	351056	351331	chr	4	65
L0308	BB_0344	ND	351341	353437	chr	6	74
L0309	BB_0345	ND	353440	354636	chr	3	11
L0310	BB_0346	ND	354648	355298	chr	1	9
L0311	BB_0347	ND	355491	356909	chr	1	9
L0312	BB_0348	pyk	357007	358440	chr	2	11
L0313	BB_0349	ND	358458	359198	chr	2	11
L0314	BB_0350	rpmB	359217	359495	chr	2	11
L0315	BB_0351	ND	359513	361078	chr	2	11
L0316	BB_0352	ND	361188	362321	chr	2	11
L0317	BB_0353	ND	362318	364117	chr	2	11
L0318	BB_0354	ND	364130	364972	chr	2	11
L0319	BB_0355	ND	365115	365603	chr	2	11
L0320	BB_0358	ND	366229	366960	chr	2	11
L0321	BB_0360	ND	368456	368881	chr	2	11
L0322	BB_0361	ND	368885	370027	chr	3	14
L0323	BB_0362	lgt	370027	371013	chr	5	20
L0324	BB_0363	ND	371034	373046	chr	5	20
L0325	BB_0364	mgsA	373140	373520	chr	6	45
L0326	BB_0365	la7	373567	374151	chr	8	52
L0327	BB_0366	ND	374277	375653	chr	7	52
L0328	BB_0367	ND	375661	375939	chr	7	52
L0329	BB_0368	ND	375961	377019	chr	7	52
L0330	BB_0369	ND	377039	379258	chr	5	52
L0331	BB_0370	tyrS	379341	380558	chr	4	43
L0332	BB_0371	glyS	380555	381892	chr	2	13
L0333	BB_0372	gltX	381910	383382	chr	3	31
L0334	BB_0373	ND	383395	384162	chr	2	24
L0335	BB_0374	ND	384287	385426	chr	3	25
L0336	BB_0375	pfs	385449	386162	chr	2	19
L0337	BB_0376	metK	386159	387337	chr	1	18
L0338	BB_0377	luxS	387334	387807	chr	1	18
L0339	BB_0378	ND	387818	388480	chr	1	18
L0340	BB_0379	ND	388507	388926	chr	1	18
L0341	BB_0380	mgtE	388977	390341	chr	1	18
L0342	BB_0381	ND	390392	391819	chr	1	18
L0343	BB_0382	bmpB	391932	392957	chr	1	18
L0344	BB_0383	bmpA	393044	394063	chr	0	0
L0345	BB_0384	bmpC	394105	395166	chr	0	0
L0346	BB_0385	bmpD	395481	396506	chr	0	0
L0347	BB_0386	rpsG	396604	397077	chr	0	0
L0348	BB_0387	rpsL	397102	397476	chr	0	0
L0349	BB_0388	rpoC	397544	401677	chr	1	4
L0350	BB_0390	rplL	405243	405617	chr	2	45
L0351	BB_0391	ND	405688	406176	chr	2	45
L0352	BB_0392	rplA	406181	406861	chr	3	51
L0353	BB_0393	rplK	406861	407292	chr	2	51
L0354	BB_0394	nusG	407344	407898	chr	2	51
L0355	BB_0395	secE	407922	408092	chr	1	45
L0356	BB_0396	rpmG	408201	408380	chr	1	45
L0357	BB_0397	ND	408554	409402	chr	1	45
L0358	BB_0398	ND	409416	410447	chr	1	45
L0359	BB_0399	ND	410787	411446	chr	1	45
L0360	BB_0400	ND	411456	413006	chr	3	48
L0361	BB_0401	ND	413113	414315	chr	3	48
L0362	BB_0402	proS	414327	415793	chr	4	49
L0363	BB_0403	ND	415846	416478	chr	3	48
L0364	BB_0404	ND	416689	417105	chr	2	3
L0365	BB_0405	ND	417102	417713	chr	2	3
L0366	BB_0406	ND	417724	418335	chr	2	3
L0367	BB_0407	manA	418388	419506	chr	2	3
L0368	BB_0408	ND	419503	421380	chr	0	0
L0369	BB_0409	ND	421554	422183	chr	0	0
L0370	BB_0412	ND	423055	423834	chr	1	1
L0371	BB_0413	ND	423822	424442	chr	0	0
L0372	BB_0414	ND	424694	425551	chr	0	0
L0373	BB_0415	ND	425584	426711	chr	0	0
L0374	BB_0416	ND	426736	427950	chr	0	0
L0375	BB_0417	ND	427987	428622	chr	0	0
L0376	BB_0418	ND	428646	429674	chr	0	0
L0377	BB_0419	ND	429693	430616	chr	1	45
L0378	BB_0420	ND	430619	435103	chr	2	45
L0379	BB_0421	ND	441713	442552	chr	1	28
L0380	BB_0422	ND	442688	443248	chr	1	28
L0381	BB_0426	ND	446327	446875	chr	0	0
L0382	BB_0427	ND	446969	447736	chr	0	0
L0383	BB_0428	ND	447855	448172	chr	0	0
L0384	BB_0429	ND	448202	448591	chr	0	0
L0385	BB_0430	ND	448708	449310	chr	0	0
L0386	BB_0431	ND	449419	450171	chr	0	0
L0387	BB_0434	spo0J	451139	451921	chr	0	0
L0388	BB_0435	gyrA	452040	454472	chr	0	0
L0389	BB_0436	gyrB	454484	456388	chr	0	0
L0390	BB_0437	dnaA	456576	458036	chr	0	0
L0391	BB_0438	dnaN	458277	459434	chr	0	0
L0392	BB_0439	ND	459525	459824	chr	0	0
L0393	BB_0440	rpmH	459916	460071	chr	0	0
L0394	BB_0441	rnpA	460052	460411	chr	0	0
L0395	BB_0443	ND	462045	462773	chr	0	0
L0396	BB_0444	ND	462819	463886	chr	0	0
L0397	BB_0445	fbaA	464053	465132	chr	0	0
L0398	BB_0446	aspS	465518	467278	chr	0	0
L0399	BB_0447	ND	467282	469387	chr	0	0
L0400	BB_0448	ND	469390	469665	chr	0	0
L0401	BB_0449	ND	469678	469971	chr	0	0
L0402	BB_0450	rpoN	469961	471220	chr	0	0
L0403	BB_0451	ND	471223	471756	chr	0	0
L0404	BB_0452	ND	471771	472358	chr	0	0
L0405	BB_0453	ND	472566	473408	chr	1	1
L0406	BB_0454	ND	473405	474556	chr	1	1
L0407	BB_0455	ND	474613	475602	chr	1	1
L0408	BB_0456	ND	475606	476211	chr	1	1
L0409	BB_0457	uvrC	476263	478005	chr	1	1
L0410	BB_0459	ND	479709	481019	chr	0	0
L0411	BB_0460	ND	481344	482057	chr	0	0
L0412	BB_0461	ND	482600	484282	chr	1	1
L0413	BB_0462	efbC	484287	484586	chr	1	1
L0414	BB_0463	ND	484757	485266	chr	1	1
L0415	BB_0464	ND	485550	486077	chr	1	1
L0416	BB_0465	ND	486074	486769	chr	1	1
L0417	BB_0466	ND	486747	487538	chr	1	1
L0418	BB_0467	ND	487535	488224	chr	1	1
L0419	BB_0468	ND	488226	488972	chr	1	1
L0420	BB_0469	lspA	488983	489495	chr	1	1
L0421	BB_0470	ND	489540	489719	chr	1	1
L0422	BB_0471	ND	489733	490554	chr	0	0
L0423	BB_0472	murA	490644	491927	chr	0	0
L0424	BB_0473	ND	492588	493952	chr	0	0
L0425	BB_0475	ND	494150	494539	chr	0	0
L0426	BB_0476	tuf	495033	496217	chr	0	0
L0427	BB_0477	rpsJ	496268	496579	chr	1	6
L0428	BB_0478	rplC	496615	497235	chr	1	6
L0429	BB_0479	rplD	497245	497874	chr	1	6
L0430	BB_0480	rplW	497895	498191	chr	1	6
L0431	BB_0481	rplB	498213	499046	chr	1	6
L0432	BB_0482	rpsS	499056	499334	chr	1	6
L0433	BB_0483	rplV	499341	499703	chr	1	6
L0434	BB_0484	rpsC	499707	500588	chr	1	6
L0435	BB_0485	rplP	500593	501009	chr	1	6
L0436	BB_0486	rpmC	501015	501212	chr	1	6
L0437	BB_0487	rpsQ	501215	501469	chr	1	6
L0438	BB_0488	rplN	501497	501865	chr	1	6
L0439	BB_0489	rplX	501880	502185	chr	1	6
L0440	BB_0490	ND	502191	502739	chr	1	6
L0441	BB_0491	rpsN	502756	502941	chr	1	6
L0442	BB_0492	rpsH	502951	503349	chr	1	6
L0443	BB_0493	ND	503366	503908	chr	2	12
L0444	BB_0494	rplR	503926	504285	chr	2	12
L0445	BB_0495	rpsE	504298	504795	chr	2	12
L0446	BB_0496	ND	504799	505104	chr	2	12
L0447	BB_0497	rplO	505104	505541	chr	2	12
L0448	BB_0498	ND	505554	506858	chr	2	12
L0449	BB_0499	rpmJ	506865	506984	chr	2	12
L0450	BB_0500	rpsM	507002	507379	chr	2	12
L0451	BB_0501	rpsK	507406	507798	chr	2	12
L0452	BB_0502	rpoA	507814	508848	chr	2	12
L0453	BB_0503	rplQ	508870	509241	chr	1	12
L0454	BB_0504	ND	509314	510846	chr	1	12
L0455	BB_0505	ND	510836	511624	chr	1	12
L0456	BB_0507	ND	512393	513139	chr	1	12
L0457	BB_0508	engA	513226	514527	chr	1	12
L0458	BB_0509	ND	514524	515783	chr	1	12
L0459	BB_0512	ND	516493	522993	chr	3	29
L0460	BB_0514	pheT	524554	526254	chr	1	1
L0461	BB_0517	dnaJ	528104	529198	chr	0	0
L0462	BB_0518	dnaK	529198	531105	chr	0	0
L0463	BB_0519	grpE	531129	531692	chr	0	0
L0464	BB_0524	ND	534301	535155	chr	1	8
L0465	BB_0525	ND	535178	535600	chr	1	8
L0466	BB_0526	ND	535704	537527	chr	3	11
L0467	BB_0527	ND	537544	538308	chr	2	9
L0468	BB_0528	ND	538328	539275	chr	3	10
L0469	BB_0533	ND	542263	543024	chr	1	1
L0470	BB_0534	xth	543049	543816	chr	1	1
L0471	BB_0535	ND	543832	544605	chr	1	1
L0472	BB_0536	ND	544586	547387	chr	1	1
L0473	BB_0537	ND	547846	548490	chr	0	0
L0474	BB_0538	ND	548487	548885	chr	0	0
L0475	BB_0539	ND	548920	549618	chr	0	0
L0476	BB_0540	fusA	549642	551723	chr	2	3
L0477	BB_0543	ND	553139	553789	chr	2	5
L0478	BB_0544	ND	553992	555212	chr	3	23
L0479	BB_0545	ND	555216	556580	chr	3	23
L0480	BB_0546	ND	556563	557423	chr	3	23
L0481	BB_0547	coaE	557407	558024	chr	3	23
L0482	BB_0548	polA	558006	560732	chr	4	25
L0483	BB_0549	ND	560729	561127	chr	3	25
L0484	BB_0550	fliS	561117	561554	chr	3	25
L0485	BB_0551	ND	561563	561943	chr	3	25
L0486	BB_0552	ligA	562185	564167	chr	5	25
L0487	BB_0554	ND	565955	567823	chr	3	18
L0488	BB_0555	ND	567810	568277	chr	2	18
L0489	BB_0556	ND	568270	569139	chr	2	18
L0490	BB_0557	ND	569278	569538	chr	1	18
L0491	BB_0558	ptsP	569559	571280	chr	1	18
L0492	BB_0559	ND	571283	571852	chr	1	18
L0493	BB_0560	ND	571890	573740	chr	1	18
L0494	BB_0561	gnd	573853	575247	chr	1	18
L0495	BB_0562	ND	575274	575816	chr	0	0
L0496	BB_0563	ND	575981	576499	chr	0	0
L0497	BB_0564	ND	576582	577187	chr	0	0
L0498	BB_0565	ND	577395	577937	chr	0	0
L0499	BB_0566	ND	577950	578261	chr	0	0
L0500	BB_0567	ND	578277	580421	chr	0	0
L0501	BB_0568	ND	580486	581643	chr	0	0
L0502	BB_0569	ND	581645	583417	chr	2	7
L0503	BB_0570	ND	583458	583832	chr	2	7
L0504	BB_0571	ND	584191	584880	chr	2	7
L0505	BB_0572	ND	585080	586156	chr	3	25
L0506	BB_0574	ND	587031	587882	chr	3	25
L0507	BB_0575	pyrG	588066	589667	chr	1	18
L0508	BB_0576	ND	589684	590208	chr	1	18
L0509	BB_0577	ND	590348	590935	chr	1	18
L0510	BB_0578	ND	591188	592357	chr	0	0
L0511	BB_0579	ND	592446	595931	chr	0	0
L0512	BB_0580	ND	595943	596521	chr	1	1
L0513	BB_0581	recG	596531	598591	chr	2	5
L0514	BB_0582	ND	598588	599376	chr	1	4
L0515	BB_0583	ND	599495	600844	chr	1	4
L0516	BB_0584	ND	601010	602344	chr	3	8
L0517	BB_0585	murD	602374	603729	chr	5	10
L0518	BB_0586	ND	603726	604769	chr	7	11
L0519	BB_0587	metG	604779	606983	chr	10	40
L0520	BB_0588	bgp	607138	607935	chr	9	40
L0521	BB_0590	ksgA	609061	609906	chr	7	40
L0522	BB_0591	ND	609943	611193	chr	7	40
L0523	BB_0592	ND	611309	612022	chr	5	34
L0524	BB_0593	ND	612048	613985	chr	5	34
L0525	BB_0594	argS	614014	615771	chr	5	38
L0526	BB_0595	ND	615764	616390	chr	5	38
L0527	BB_0596	ND	616412	618559	chr	6	40
